metric_id,source_scope,period_or_cutoff,population_definition,metric,value,unit,denominator,derived_rate_pct,evidence_class,confidence,supports,does_not_support,notes
sem_crypto_transaction_type_deposit,AIX internal implementation,current code,Transaction semantics,crypto_transaction.transaction_type=1,DEPOSIT,enum mapping,,,Implementation + Data Fact,high,Identifies deposit transactions,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Authoritative current-code mapping.
sem_crypto_transaction_status_completed,AIX internal implementation,current code,Transaction semantics,crypto_transaction.status=200,COMPLETED,enum mapping,,,Implementation + Data Fact,high,Identifies completed transactions,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Authoritative current-code mapping.
sem_card_transaction_type_capture,AIX internal implementation,current code,Card transaction semantics,card transaction_type=21,CAPTURE,enum mapping,,,Implementation + Data Fact,high,Identifies capture events,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Authoritative current-code mapping.
sem_successful_purchase_capture_proxy,AIX internal implementation,current code,Downstream card-event filter,successful purchase capture proxy,status=200 AND transaction_desc='1st Presentment Purchase' AND indicator='debit',filter definition,,,Implementation + Data Fact,high,Defines the downstream successful purchase capture proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Use this proxy name for the filtered event; it is not a causal or motivation claim.
currency_usdt_transactions,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDT deposit transactions,65,transactions,108,60.2,Observed AIX Behavior,high,Currency-level deposit mix,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency transaction counts sum to 108.
currency_usdt_users,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDT deposit users,22,users,31,71.0,Observed AIX Behavior,high,Users observed with USDT deposits,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency user counts can overlap and are not additive.
currency_usdt_amount,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDT deposit amount,760.54,USDT,,,Observed AIX Behavior,high,Observed USDT deposit amount aggregate,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Aggregate only; no user-level detail.
currency_usdc_transactions,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDC deposit transactions,42,transactions,108,38.9,Observed AIX Behavior,high,Currency-level deposit mix,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency transaction counts sum to 108.
currency_usdc_users,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDC deposit users,13,users,31,41.9,Observed AIX Behavior,high,Users observed with USDC deposits,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency user counts can overlap and are not additive.
currency_usdc_amount,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,USDC deposit amount,1012.21,USDC,,,Observed AIX Behavior,high,Observed USDC deposit amount aggregate,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Aggregate only; no user-level detail.
currency_fdusd_transactions,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,FDUSD deposit transactions,1,transactions,108,0.9,Observed AIX Behavior,high,Currency-level deposit mix,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency transaction counts sum to 108.
currency_fdusd_users,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,FDUSD deposit users,1,users,31,3.2,Observed AIX Behavior,high,Users observed with FDUSD deposits,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Currency user counts can overlap and are not additive.
currency_fdusd_amount,AIX internal cohort analysis,Stage14 snapshot,31 unique users with completed deposits,FDUSD deposit amount,9.5,FDUSD,,,Observed AIX Behavior,high,Observed FDUSD deposit amount aggregate,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Aggregate only; no user-level detail.
cohort_completed_deposit_users,AIX internal cohort analysis,Stage14 snapshot,Unique users with at least one completed deposit,completed-deposit cohort users,31,users,,100.0,Observed AIX Behavior,high,Cohort size for deposit-to-spend reuse analysis,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Unique-user denominator.
cohort_completed_deposit_transactions,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,completed deposits,108,transactions,,,Observed AIX Behavior,high,Cohort deposit activity volume,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Deposit transaction total.
later_successful_purchase_capture_users,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,users with later successful purchase capture proxy,21,users,31,67.7,Observed AIX Behavior,high,Deposit → later Spend reuse proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,21/31 users had at least one later filtered capture event.
first_later_capture_lt_1d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,first later successful purchase capture timing,0,users; <1d,31,0.0,Observed AIX Behavior,high,Observed timing distribution of the reuse proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Bucket count; later-capture cohort denominator is 21.
first_later_capture_1_7d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,first later successful purchase capture timing,11,users; 1-7d,31,35.5,Observed AIX Behavior,high,Observed timing distribution of the reuse proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,11/31 = 35.5%; also 52.4% of the 21 later-capture users.
first_later_capture_7_30d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,first later successful purchase capture timing,6,users; 7-30d,31,19.4,Observed AIX Behavior,high,Observed timing distribution of the reuse proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Bucket count.
first_later_capture_ge_30d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,first later successful purchase capture timing,4,users; >=30d,31,12.9,Observed AIX Behavior,high,Observed timing distribution of the reuse proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,Bucket count.
