metric_id,source_scope,source_url,observed_period_or_date,population_or_sample,metric,value,unit,numerator,denominator,derived_rate_pct,method,evidence_class,confidence,supports,does_not_support,notes
"wise_active_customers","K|Wise FY26 results","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","FY26","Wise reported customer base","active_customers","18.9","million_customers","","Wise active-customer metric","","Provider-reported operating metric","provider_competitor","High","Mature fiat cross-border alternative scale","Stablecoin-user count; stablecoin retention; AIX demand","Not a stablecoin target count."
"wise_cross_border_volume","K|Wise FY26 results","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","FY26","Wise reported cross-border activity","cross_border_volume","243.5","USD_billion","","Wise reported cross-border volume","","Provider-reported operating metric","provider_competitor","High","Fiat alternative throughput and scale","Stablecoin volume; user-level adoption; AIX market size","Volume is not a people count."
"wise_holdings","K|Wise FY26 results","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","FY26","Wise reported customer balances","customer_holdings","39","USD_billion","","Wise reported holdings","","Provider-reported operating metric","provider_competitor","High","Mature fiat hold-value alternative pressure","Stablecoin balances; same-user overlap; AIX demand","Holdings are not stablecoin holdings."
"wise_card_spend","K|Wise FY26 results","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","FY26","Wise reported card activity","card_spend","43.6","USD_billion","","Wise reported card spend","","Provider-reported operating metric","provider_competitor","High","Fiat spend alternative pressure","Stablecoin card users; balance retention; AIX right-to-win","Card spend is not a stablecoin spend measure."
"wise_fast_payment_share","K|Wise FY26 results","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","FY26 Q4","Wise reported payment activity","payments_under_20_seconds","75","percent","","Wise Q4 payment activity","","Provider-reported operating metric","provider_competitor","High","Fiat speed benchmark","Stablecoin adoption; retained balance; AIX differentiation","Speed benchmark is not stablecoin behavior."
"kast_users","K|KAST funding announcement","https://www.kast.xyz/blog/kast-announces-80m-series-a","2026","KAST reported user base","users","1","million_users_lower_bound","","Provider-reported KAST user base; stated >1m","","Provider-reported competitor scale; lower-bound magnitude","provider_competitor","Medium","Direct earn/hold/spend alternative pressure","Independent market size; unique stablecoin users; retention; AIX right-to-win","Provider-reported users are not independently audited here."
"kast_annualized_transaction_volume","K|KAST funding announcement","https://www.kast.xyz/blog/kast-announces-80m-series-a","2026","KAST reported transaction activity","annualized_transaction_volume","5","USD_billion_approx","","Provider-reported close-to-$5B annualized volume","","Provider-reported competitor scale; approximate","provider_competitor","Medium","Direct transaction-rail alternative pressure","Stablecoin user count; retained balances; AIX market size","Volume is not a people count or retention measure."
"kast_earn_hold_spend_proposition","K|KAST product page","https://www.kast.xyz/freelancers","2026","Freelancer product proposition","earn_globally_hold_digitally_spend_locally","reported","qualitative_proposition","","Not applicable","","Provider product proposition","provider_competitor","Directional","Directly overlapping receive/hold/spend job","Independent demand size; user retention; AIX right-to-win","Proposition evidence is not usage evidence."
"kast_freelancer_receive_hold_spend_route","K|KAST product page","https://www.kast.xyz/freelancers","2026","Freelancers receiving USD from clients, Stripe, or Deel","freelancer_route_receive_usd_then_hold_and_spend","reported","qualitative_route","","Provider-described freelancer flow","","Provider product-route description","provider_competitor","Directional","Same-job competitive pressure for globally paid workers","Same-user adoption; retention; market size; AIX differentiation","The route is a provider-described capability, not an observed user cohort."
"redotpay_users","K|RedotPay trust announcement","https://www.redotpay.com/hi/news/building-trust-how-were-protecting-users-at-redotpay","2026","RedotPay reported user base","users","8.5","million_users_lower_bound","","Provider-reported >8.5m users","","Provider-reported competitor scale; lower-bound magnitude","provider_competitor","Medium","Generic crypto/stablecoin spend alternative pressure","Unique stablecoin users; retained balance; AIX right-to-win","If the current page is unavailable, preserve this as link-only from earlier verified evidence; do not re-assert a downloaded archive."
