evidence_id,route,country,cohort,outcome,starting_money,current_alternative,source_ref,source_date,support_or_disconfirm,denominator,relationship_depth,limitations,gate_relevance
S15-AR-01,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Broad local everyday-purchasing-power outcome coverage,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,S15-AR-01,2026-08-31,Disconfirming / falsifier-triggered for broad outcome coverage; Insufficient for normalized H1,Argentina evidence cell; normalized denominator not established,Repeated local-use depth not established,Broad outcome/rail-bundle signal only; normalized H1 NOT_YET_PASS; does not establish zero residual pain or global H1 kill,H1 broad-coverage falsifier input only
S15-AR-02,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Broad local everyday-purchasing-power outcome coverage,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,S15-AR-02,2026-08-31,Disconfirming / falsifier-triggered for broad outcome coverage; Insufficient for normalized H1,Argentina evidence cell; normalized denominator not established,Repeated local-use depth not established,Broad outcome/rail-bundle signal only; normalized H1 NOT_YET_PASS; does not establish zero residual pain or global H1 kill,H1 broad-coverage falsifier input only
S15-AR-03,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Merchant-outcome expression,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,S15-AR-03,2026-08-31,Disconfirming / falsifier-triggered for merchant-outcome expression; Insufficient for normalized H1,Argentina evidence cell; normalized denominator not established,Merchant-use depth not established,Merchant-outcome expression only; normalized H1 NOT_YET_PASS; Argentina-local depth remains insufficient,H1 merchant-outcome falsifier input only
S15-AR-04,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Source-of-funds/H3 and local-use path,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,S15-AR-04,2026-08-31,Candidate-supporting for source-of-funds/H3; disconfirming only when paired with documented belo local-use path; Insufficient for normalized H1,Argentina evidence cell; normalized denominator not established,Documented belo local-use depth not established,Source-of-funds/H3 candidate support; disconfirmation requires documented belo local-use path; normalized H1 NOT_YET_PASS,H3/support and conditional H1 falsifier input
S15-AR-05,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Generic card outcome,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,S15-AR-05,2026-08-31,Candidate-supporting / disconfirming corroboration at generic card-outcome level; Insufficient for Argentina-local depth,Argentina evidence cell; normalized denominator not established,Argentina-local relationship depth not established,Generic card-outcome corroboration only; Argentina-local depth insufficient,H1 generic-card corroboration only
AGG-AR-H1-BROAD,H1,Argentina,Argentina residents with recurring cross-border/remote-work income or existing digital-dollar/stablecoin value seeking repeated local everyday purchasing power,Broad everyday purchasing power via bundled rails,Recurring cross-border/remote-work income or digital-dollar/stablecoin value,belo; Lemon; KAST; RedotPay; Deel; combined status quo,15-ws2-argentina-h1.md; 15-ws7-redteam-adjudication.md; S15-AR-01..05,2026-08-31,FALSIFIED_IN_CELL,Broad outcome/rail-bundle cell; normalized denominator not established,Repeated local-use depth not established,Only broad outcome/rail-bundle; normalized H1 NOT_YET_PASS; does not prove zero residual pain or global H1 kill,In-cell falsifier for broad H1 cell only
RT-H1-01,H1,PH,PH stablecoin-starting users seeking everyday local purchasing power,Everyday local purchasing power via stablecoin rail bundle,Stablecoin,RedotPay; Bitget; ether.fi Direct Pay; Oobit; Coins.ph QRPh,RT-H1-01,2026-08-31,Disconfirming / falsifier-triggered — H1-as-rail-bundle only,PH stablecoin-starting user cell; normalized denominator not established,Repeated merchant-use depth not established,H1-as-rail-bundle only; normalized H1 NOT_YET_PASS,In-cell rail-bundle falsifier input only
RT-H1-02,H1,PH,PH stablecoin-starting users seeking everyday local purchasing power,Everyday local purchasing power via local wallet/QR alternatives,Stablecoin,Coins.ph; GCash; Maya; BSP QRPh ecosystem,RT-H1-02,2026-08-31,Insufficient / NOT_YET_PASS,PH stablecoin-starting user cell; normalized denominator not established,Repeated local-use depth not established,Insufficient evidence; normalized H1 NOT_YET_PASS,Rail-only corroboration gap
AGG-PH-H1-RAIL,H1,PH,PH stablecoin-starting users seeking everyday local purchasing power,Everyday local purchasing power via rail bundle,Stablecoin,RedotPay; Bitget; ether.fi Direct Pay; Oobit; Coins.ph QRPh; local wallet/QR stack,RT-H1-01; RT-H1-02; 15-ws6-competitor-redteam.md; 15-ws7-redteam-adjudication.md,2026-08-31,FALSIFIED_IN_CELL,PH stablecoin-starting user cell; normalized denominator not established,Repeated outcome depth not established,Rail-only; normalized H1 NOT_YET_PASS,In-cell rail-bundle falsifier only
RT-H2-01,H2,PH,PH destination-side cross-border recipients with digital-dollar receipt,Digital-dollar receipt for destination-side recipient,Digital-dollar receipt,Coins.ph; GCash; Maya; conventional remittance/local cash-out,RT-H2-01,2026-08-31,Insufficient / NOT_YET_PASS,PH destination-side recipient cell; normalized denominator not established,Recipient recontact/relationship depth not established,Insufficient; destination-side H2 evidence remains NOT_YET_PASS,H2 transport-cell evidence gap
RT-H2-04,H2,PH or other eligible market,Recipients; not locked to one matched country/cohort cell,Destination-side recipient receipt/transfer outcome,Digital-dollar or remittance receipt,Coins.ph; GCash/Maya; remittance and bank/e-wallet rails; crypto cards,RT-H2-04,2026-08-31,Competitive disconfirmation / NOT_YET_PASS,Unmatched recipient cell; denominator and country match not established,Matched cohort relationship depth not established,Competitive disconfirmation is not a falsifier; NOT_YET_PASS; not Mexico-bound,H2 competitive-pressure input only
MEX-H2-DIAG,H2,Mexico,Destination-side cross-border/remittance recipients; stablecoin-involved recipient subset and recontact remain unmeasured,Destination-side cross-border/remittance receipt,Cross-border/remittance receipt; stablecoin-involved subset,Conventional remittance; bank/MTO/mobile/digital services; combined status quo,15-ws5-geography-reachability.md; 15-ws7-redteam-adjudication.md; S15-RT-07; S15-RT-08,2026-08-31,Insufficient / NOT_YET_PASS,Mexico destination-side recipient denominator not measured,Stablecoin subset and recontact depth not measured,Diagnostic only; stablecoin-involved recipient subset and recontact remain unmeasured; NOT_YET_PASS,Mexico H2 diagnostic only
RT-H0-01,H0,Unknown,Unknown,H0 baseline,Unknown,Unknown,RT-H0-01,2026-08-31,NOT_SELECTED_FROM_INSUFFICIENCY,No selected route cell,Not assessed,Not selected from insufficiency; no outcome cell established,H0 selection boundary
WS15-01,H1/H2/H0,Unknown,Unknown,Job/Target working record,Unknown,Unknown,15-ws2-job-target.md,2026-08-31,Insufficient / NOT_YET_PASS,Working-record denominator not established,Working-record depth not established,Working record only; normalized statuses NOT_YET_PASS,Route-status working record
WS15-02,H1/H2,Unknown,Unknown,Relationship-depth working record,Unknown,Unknown,15-ws4-relationship-depth.md,2026-08-31,Insufficient / NOT_YET_PASS,Relationship-depth denominator not established,Relationship depth not normalized,Working record only; relationship depth not normalized,Relationship-depth evidence gap
WS15-03,H1/H2/H0,Unknown,Unknown,Red-team adjudication index,Unknown,Unknown,15-ws7-redteam-adjudication.md,2026-08-31,Adjudication index / NOT_YET_PASS,Index of route-cell adjudications; no normalized denominator,Adjudication depth does not establish matched-cell depth,Adjudication index only; component cells retain stated boundaries; NOT_YET_PASS,Adjudication index; no standalone falsifier
