metric_id,source_scope,source_url,observed_period_or_date,population_or_sample,metric,value,unit,numerator,denominator,derived_rate_pct,method,evidence_class,confidence,supports,does_not_support,notes
"imf_ARG_inflation_2024","G|IMF DataMapper PCPIPCH|ARG","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Argentina country macro series","annual_consumer_price_inflation","219.9","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
"imf_ARG_inflation_2025","G|IMF DataMapper PCPIPCH|ARG","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Argentina country macro series","annual_consumer_price_inflation","41.9","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_ARG_inflation_2026","G|IMF DataMapper PCPIPCH|ARG","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Argentina country macro series","annual_consumer_price_inflation","30.4","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_COL_inflation_2024","G|IMF DataMapper PCPIPCH|COL","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Colombia country macro series","annual_consumer_price_inflation","6.6","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
"imf_COL_inflation_2025","G|IMF DataMapper PCPIPCH|COL","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Colombia country macro series","annual_consumer_price_inflation","5.1","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_COL_inflation_2026","G|IMF DataMapper PCPIPCH|COL","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Colombia country macro series","annual_consumer_price_inflation","5.9","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_TUR_inflation_2024","G|IMF DataMapper PCPIPCH|TUR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Türkiye country macro series","annual_consumer_price_inflation","58.5","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
"imf_TUR_inflation_2025","G|IMF DataMapper PCPIPCH|TUR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Türkiye country macro series","annual_consumer_price_inflation","34.9","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_TUR_inflation_2026","G|IMF DataMapper PCPIPCH|TUR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Türkiye country macro series","annual_consumer_price_inflation","28.6","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_VNM_inflation_2024","G|IMF DataMapper PCPIPCH|VNM","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Vietnam country macro series","annual_consumer_price_inflation","3.6","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
