metric_id,source_scope,source_url,observed_period_or_date,population_or_sample,metric,value,unit,numerator,denominator,derived_rate_pct,method,evidence_class,confidence,supports,does_not_support,notes
"worldbank_rpw_corridor_count","J|World Bank Remittance Prices Worldwide","https://remittanceprices.worldbank.org/","Stage14 package","World Bank Remittance Prices Worldwide corridor dataset","corridor_count","367","corridors","","Published corridor coverage","","Reported dataset coverage","category_cost","Medium","Conventional remittance-rail coverage context","Stablecoin adoption; recipient retention; AIX market size","Archive package reports 367 corridors."
"worldbank_rpw_global_average_cost","J|World Bank Remittance Prices Worldwide","https://remittanceprices.worldbank.org/","Stage14 package","World Bank Remittance Prices Worldwide corridor dataset","global_average_remittance_cost","6.36","percent","","367-corridor dataset; exact weighting not restated in package","","Reported category cost benchmark","category_cost","Medium","Conventional remittance cost and pain benchmark","Stablecoin adoption; same-user retention; AIX target size","A category average is not a user-level fee or adoption rate."
"worldbank_lmic_remittance_category_size","J|World Bank Migration and Development Brief 40 / existing Stage14 evidence","https://www.knomad.org/publication/migration-and-development-brief-40","Stage14 package; period not restated","Low- and middle-income-country remittance category","lmic_remittance_value","685000000000","USD_category_size_approx","","LMIC category; period/method not restated in package","","Existing Stage14 category-size evidence","category_size","Medium","Category-scale context for remittance jobs","Stablecoin remittance adoption; reachable users; AIX market size; retention","Category size is not stablecoin addressable volume."
"worldbank_philippines_remittance_category_size","J|World Bank Migration and Development Brief 40 / existing Stage14 evidence","https://www.knomad.org/publication/migration-and-development-brief-40","Stage14 package; period not restated","Philippines remittance category","philippines_remittance_value","40000000000","USD_category_size_approx","","Philippines category; period/method not restated in package","","Existing Stage14 category-size evidence","category_size","Medium","Country remittance-scale context","Stablecoin remittance adoption; reachable users; AIX market size; retention","Category size is not stablecoin addressable volume."
"telematics_remittance_study_sample","J|Telematics & Informatics study","https://www.sciencedirect.com/science/article/pii/S0736585324001345","2025 publication; study period not restated","U.S.-based adults engaged in remittance","study_sample_size","866","adults","","866 U.S.-based remittance-engaged adults","","Peer-reviewed bounded sender-side sample","academic_survey","Medium","Bounded remittance-user behavior evidence","Global adoption; recipient behavior; retained balance; AIX target size","Do not globalize this sample."
"telematics_stablecoin_remittance_adoption","J|Telematics & Informatics study","https://www.sciencedirect.com/science/article/pii/S0736585324001345","2025 publication; study period not restated","866 U.S.-based adults engaged in remittance","adopted_stablecoins_for_remittance","26","percent","","866 U.S.-based remittance-engaged adults","","Reported study proportion","academic_survey","Medium","Bounded sender-side adoption signal","Global stablecoin-remittance adoption; recipient retention; balance retention; primary-money status","The study sample is not a global or general-population denominator."
"telematics_continuance_drivers","J|Telematics & Informatics study","https://www.sciencedirect.com/science/article/pii/S0736585324001345","2025 publication; study period not restated","Remittance-engaged respondents in bounded study","reported_continuance_drivers","satisfaction|usefulness","qualitative_driver_set","","Study respondents; exact factor model not restated in package","","Peer-reviewed continuance-driver finding","academic_survey","Directional","Hypothesis that satisfaction and usefulness matter for continuance","Longitudinal recipient retention; retained balance; causal effect; global behavior","Continuance drivers do not equal observed multi-cycle retention."
"stripe_remittance_layer_visibility","J|Stripe remittance explainer","https://stripe.com/en-sg/resources/more/stablecoin-remittances-explained","Explainer; date not restated","Stablecoin remittance product patterns","stablecoin_layer_visibility","visible_or_hidden_behind_fiat_ux","product_pattern","","Not applicable","","Explanatory product-rail description","explanatory","Directional","Stablecoin can be a back-end rail or an explicit user-facing asset","Stablecoin end-user adoption; user count; retention","Rail usage and end-user asset holding are separate states."
"stripe_remittance_recipient_final_forms","J|Stripe remittance explainer","https://stripe.com/en-sg/resources/more/stablecoin-remittances-explained","Explainer; date not restated","Remittance recipients in described product patterns","recipient_final_money_form","cash_out_local_currency|hold_stablecoin|spend","outcome_set","","Not applicable","","Explanatory outcome set","explanatory","Directional","Recipient outcome possibilities after stablecoin-enabled transfer","A single recipient adoption rate; balance retention; global prevalence","The recipient may cash out, hold, or spend; a stablecoin rail does not force one end state."
"remittance_same_user_retention_status","J|World Bank RPW + academic study + Stripe explainer","https://remittanceprices.worldbank.org/","Stage14 bounded evidence package","Cross-source remittance evidence with non-linked denominators","same_user_sender_recipient_balance_retention","not_proven","evidence_status","","No source links sender, recipient, stablecoin holding, and repeated transfer cycles","","Cross-source boundary review","evidence_boundary","High","Remittance job and rail-cost hypotheses only","Global adoption; recipient retention; balance retention; same-user income/remittance overlap; AIX primary status","Category cost, bounded sender adoption, and rail explanation cannot establish longitudinal retention."
