source_id,title,publisher,published_date,url,archive_type,local_filename,sha256,accessed_at,evidence_use,limitations
"A-STRIPE-WORKER-ARTICLE","Why global workers are driving demand for stablecoin payouts","Stripe","2026-08-19","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","link-only","","","2026-08-31","Worker survey willingness, emerging-market current-use, LATAM motivation, and SSA payout context","Controller-verified package; not fetched in this run; willingness and subgroup current-use do not prove same-user overlap or retention."
"A-STRIPE-WORKER-PDF","Workers across the platform economy are fueling demand for stablecoins","Stripe","2026","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","existing-local-file","Workers_across_the_platform_economy_are_fueling_demand.pdf","be2da71849a57ebd8a18a931993846cd1b63da27176a05c48b5829fa23e8b67f","2026-08-31","Pre-existing local companion for worker evidence","Not re-downloaded in this run; use the link and controller package as the source boundary; no same-user longitudinal measurement."
"B-STRIPE-REMOTE-CASE","Remote customer case: stablecoin payouts","Stripe","2026","https://stripe.com/customers/remote","link-only","","","2026-08-31","Provider case for payout availability, speed, FX savings, and hold/spend motive","Controller-verified package; not fetched in this run; no clean user denominator or retained-balance measurement."
"B-REMOTE-ANNOUNCEMENT","Remote teams with Stripe to introduce compliant stablecoin payouts","Remote","2026","https://remote.com/news/product/remote-teams-with-stripe-to-introduce-easy-compliant-stablecoin-payouts-for","link-only","","","2026-08-31","Contractor motive and named-market context","Controller-verified package; not fetched in this run; provider case is directional same-job evidence, not longitudinal proof."
"C-DEEL-HIRING","Global Hiring Report 2026","Deel","2026","https://www.deel.com/global-hiring-report-2026/","link-only","","","2026-08-31","Contractor dataset scale, Argentina USD preference, and reported stablecoin-adoption ranking","Controller-verified package; not fetched in this run; USD preference is not stablecoin preference and ranking is not a same-user cohort."
"D-DEEL-WALLET","Introducing stablecoin wallet","Deel","2026-08-17","https://www.deel.com/blog/introducing-stablecoin-wallet/","link-only","","","2026-08-31","Competitive and same-job validation for contractor receive/hold/spend","Controller-verified package; not fetched in this run; availability and proposition do not prove adoption, market size, or retention."
"E-BVNK-YOUGOV-UTILITY","Stablecoin utility survey","BVNK / YouGov","2026","https://www.bvnk.com/utility","link-only","","","2026-08-31","Crypto-engaged cohort sample and reported stablecoin-pay signal","Controller-verified package; not fetched in this run; not general population and not a clean salary denominator."
"F-BVNK-DEEL-PAY","Stablecoin wallets / stablecoin pay","BVNK / Deel","2026","https://www.bvnk.com/stablecoin-wallets","link-only","","","2026-08-31","Provider-linked Known Floor for contractors opting into stablecoin pay","Controller-verified package; not fetched in this run; provider-linked floor is not independent market size or retention."
"G-IMF-PCPIPCH","DataMapper PCPIPCH API response","International Monetary Fund","2026 API snapshot","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","official-direct-file","imf-datamapper-pcpipch.json","7941a765c2beacd72df496d78b2cf296c38c20dbfa0a3030f8c442aac984fd2d","2026-08-31","Annual consumer-price inflation values for six country signals","Raw official API response; structural macro evidence only; not stablecoin behavior or user adoption."
"H-CHAINALYSIS-LATAM-2025","Latin America crypto adoption 2025","Chainalysis","2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","link-only","","","2026-08-31","LATAM crypto volume, Argentina received value, and stablecoin purchase-share context","Controller-verified package; not fetched in this run; order-book activity is not comprehensive and is not a people or retention measure."
"H-CHAINALYSIS-LATAM-2024","Latin America crypto adoption 2024","Chainalysis","2024","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2024/","link-only","","","2026-08-31","Argentina, Brazil, and global stablecoin transaction-share comparison","Controller-verified package; not fetched in this run; transaction share is not user adoption or retained balance."
"I-WB-FINDEX-DATA","Global Findex Database 2025 public dataset","World Bank","2025","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","official-direct-file","GlobalFindexDatabase2025.csv","dce89f60a9aceaf60a7be62b56b6a52e4d47405ee48fe2e2227da60f2a9d51cd","2026-08-31","2024 all-adult country context for adult population, account, mobile account, saving, and digital payments","Downloaded from the official World Bank download-data link; context variables only, not stablecoin behavior, worker adoption, or retention."
"I-WB-FINDEX-GLOSSARY","Global Findex 2025 glossary","World Bank","2025","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindex2025-glossary.xlsx","official-direct-file","GlobalFindex2025-glossary.xlsx","8eb99754e6e18d6831c133cc743d8207cc657baedc3447588a574fd3d935f923","2026-08-31","Verified labels for account.t.d, mobileaccount.t.d, save.any.t.d, g20.received, g20.made, and g20.any","Official glossary archive; definitions are financial-inclusion and digital-payment context, not stablecoin metrics."
"I-WB-FINDEX-REPORT","The Global Findex Database 2025: Connectivity and Financial Inclusion in the Digital Economy","World Bank","2025","https://www.worldbank.org/en/publication/globalfindex/report","existing-local-file","Global_Findex_2025.pdf","f9c5bf8a1091dea7f94f140951abaf63a4259fe93dc77b9f9151de59db94322e","2026-08-31","Pre-existing official report archive for Findex context","Not re-downloaded in this run; exact country rows are taken from the archived public CSV and glossary mapping."
"I-BIS-WP1370","Dollarisation and monetary control: what lessons for the rise of stablecoins?","Bank for International Settlements","2026","https://www.bis.org/publ/work1370.htm","existing-local-file","bis-working-paper-1370.pdf","a74976662aa9386745789661d32a681df3b4037ceec7a44191bde71c21eaa13b","2026-08-31","Pre-existing Stage14 structural dollarization context","Not re-downloaded in this run; not used as a same-user, country-adoption, or retention measure."
