metric_id,source_scope,source_url,observed_period_or_date,population_or_sample,metric,value,unit,numerator,denominator,derived_rate_pct,method,evidence_class,confidence,supports,does_not_support,notes
"stripe_worker_survey_sample","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19",">2,300 independent workers across 20 countries","survey_sample_size","2300","workers","",">2,300 independent workers across 20 countries","","Reported survey scope; value is a lower-bound magnitude","survey","Medium","Worker payout evidence coverage context","Global independent-worker population; same-user payout-plus-hold/spend overlap; retention","The source states more than 2,300; the CSV preserves the lower-bound magnitude rather than inventing an exact n."
"stripe_payout_willingness","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19",">2,300 independent workers across 20 countries","willing_to_accept_stablecoin_payout_if_offered","57","percent","","Survey respondents; exact weighted denominator not supplied","","Reported survey proportion","survey","Medium","Willingness signal for a payout proposition","Current adoption; same-user overlap; retained balance; market size","Willingness is not current use."
"stripe_emerging_market_current_payout","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19","Independent workers in emerging-market survey subgroup; subgroup n not publicly established in package","currently_receive_stablecoin_payouts","18","percent","","Emerging-market survey subgroup; n not established","","Reported self-reported current-use proportion","survey","Medium","Current stablecoin-payout signal inside the stated subgroup","Global adoption; same-user hold/spend overlap; cross-cycle retention","The denominator is the emerging-market survey subgroup, not all workers or all adults."
"stripe_latam_currency_volatility_motivation","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19","Latin America respondents; respondent count not established in package","say_stablecoins_could_protect_against_currency_volatility","33.3333333333","percent","","Latin America respondents; n not established","","Reported as one-third; stored as the corresponding decimal percentage","survey","Directional","Currency-volatility hedge motivation in Latin America","Stablecoin users; worker income-plus-balance overlap; retention","Argentina and Colombia are named examples; the one-third is not linked to the 18% subgroup."
"stripe_ssa_digital_wallet_payout","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19","Sub-Saharan Africa respondents; respondent count not established in package","receive_payouts_to_a_digital_wallet","72","percent","","Sub-Saharan Africa respondents; n not established","","Reported survey proportion","survey","Directional","Digital-wallet payout context for SSA","Stablecoin adoption; same-user hold/spend overlap; retention","This is a wallet-payout signal, not a stablecoin-user count."
"stripe_ssa_primary_stablecoin_use_case","A|Stripe survey","https://stripe.com/blog/why-global-workers-are-driving-demand-for-stablecoin-payouts","2026-08-19","Sub-Saharan Africa respondents; respondent count not established in package","say_receiving_payouts_is_primary_stablecoin_use_case","38","percent","","Sub-Saharan Africa respondents; n not established","","Reported survey proportion","survey","Directional","Payout use-case motivation in SSA","Same-user payout-plus-hold/spend overlap; retention; market size","The source package limits this figure to context; it is not joined to the 18% subgroup."
"remote_stablecoin_payout_countries","B|Stripe/Remote case","https://stripe.com/customers/remote","2026","Contractor stablecoin payout program","payout_availability_country_count","60","countries","","Provider program availability","","Provider case-study availability count","provider_case","Medium","Operational availability and same-job use-case context","Unique users; adoption rate; longitudinal retention; market size","The case and announcement describe availability in 60+ countries; value records the lower-bound magnitude."
"remote_usd_hold_spend_motive","B|Stripe/Remote case","https://remote.com/news/product/remote-teams-with-stripe-to-introduce-easy-compliant-stablecoin-payouts-for","2026","Remote contractors requesting stablecoin payout","contractor_motive_hold_and_spend_usd","reported","qualitative_signal","","Named provider case population","","Provider-reported qualitative motive","provider_case","Directional","Directional same-job link from payout to holding/spending dollar value","Same-user longitudinal balance retention; general worker prevalence; causal effect","This is stronger same-job linkage than a cross-source survey, but has no clean user denominator."
"remote_speed_estimate","B|Stripe/Remote case","https://stripe.com/customers/remote","2026","Remote payout operator estimate","estimated_payout_speed_gain","2-3","days","","Provider case operations estimate","","Operator estimate in case study","provider_case","Low","Case-level payout-speed economics","Generalizable worker outcome; adoption; retention","The package identifies this as an operator estimate."
"remote_fx_saving_estimate","B|Stripe/Remote case","https://stripe.com/customers/remote","2026","Remote payout operator estimate","estimated_payout_value_saved_by_avoiding_fx","1","percent_payout_value_lower_bound","","Provider case operations estimate; reported as greater than 1%","","Operator estimate; value is a lower-bound magnitude","provider_case","Low","Case-level FX-cost economics","Generalizable savings; worker adoption; balance retention","The source reports more than 1%; the CSV preserves 1 as the lower-bound magnitude."
